"as_of_date","centre_name","country","is_service_facility","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-17","Biodiversity Institute of Ontario","Canada","None","43.5337404796,-80.2371883392","1","1","0","0","0","0","0","0"
"2010-03-17","Biopolymers facility at Harvard","United States","None","42.340402,-71.092787","1","0","1","0","0","0","0","0"
"2010-03-17","bmr-genomics","Italy","None","45.413696,11.892915","1","1","0","0","0","0","0","0"
"2010-03-17","Broad Institute","United States","None","42.365013,-71.088066","109","10","89","0","0","0","8","0"
"2010-03-17","Burnham Institute for Biotechnology","United States","None","28.3962327117,-81.2713623047","1","0","0","0","0","0","1","0"
"2010-03-17","Cambridge Research Institute","United Kingdom","None","52.177195,0.136213","5","0","3","0","0","0","0","0"
"2010-03-17","Case Comprehensive Cancer Center High Throughput Sequencing Core Facility","United States","True","41.504527854,-81.6056728363","1","0","1","0","0","0","0","0"
"2010-03-17","CEA","France","None","48.850258,2.373047","1","0","1","0","0","0","0","0"
"2010-03-17","Ceinge - Biotecnologie Avanzate","Italy","True","40.8827320993,14.2121393683","1","1","0","0","0","0","0","0"
"2010-03-17","Center for Advanced Studies, Research and Development in Sardinia","Italy","False","38.991,8.937","1","0","1","0","0","0","0","0"
"2010-03-17","Centre for Genomic Regulation","Spain","None","41.376809,2.197266","2","1","1","0","0","0","0","0"
"2010-03-17","Centre for Genomic Research","United Kingdom","True","53.4071782933,-2.96315431595","7","2","0","0","0","0","3","0"
"2010-03-17","Centro Avançado de Tecnologias em Genômica","Brazil","True","-23.566505,-46.7276","1","1","0","0","0","0","0","0"
"2010-03-17","Children's Hospital of Philadelphia Nucleic Acid Core Facility","United States","True","39.9473681712,-75.1957726479","2","0","0","0","0","0","2","0"
"2010-03-17","Children’s Hospital Boston Molecular Genetics Core Facility","United States","None","42.340592,-71.092873","1","0","0","0","0","0","1","0"
"2010-03-17","CNIO","Spain","None","40.4765702944,-3.69418501854","1","0","1","0","0","0","0","0"
"2010-03-17","CoFactor Genomics","United States","True","38.62941,-90.217495","4","0","2","0","0","0","2","0"
"2010-03-17","Core Facilities for Biomedical Sciences (Campus), Chinese University of Hong Kong","Hong Kong","True","22.4189234357,114.208213091","1","1","0","0","0","0","0","0"
"2010-03-17","Cornell University Life Sciences Core Laboratories Center","United States","None","42.448605,-76.47995","1","0","1","0","0","0","0","0"
"2010-03-17","Covance Genomics Laboratory","United States","True","47.6225952637,-122.33757019","2","0","2","0","0","0","0","0"
"2010-03-17","Creative Genomics","United States","None","40.918507,-73.063803","2","1","1","0","0","0","0","0"
"2010-03-17","CRIBI - University of Padova","Italy","None","45.408454,11.876564","1","0","0","0","0","0","1","0"
"2010-03-17","CSHL","United States","None","40.853553,-73.447723","13","1","12","0","0","0","0","0"
"2010-03-17","Dana Faber Cancer Institute","United States","None","42.336976,-71.106606","1","0","1","0","0","0","0","0"
"2010-03-17","DeCode","Iceland","None","64.12499,-21.862793","2","0","2","0","0","0","0","0"
"2010-03-17","Delaware Biotechnology Institute","United States","True","39.677904,-75.734918","3","0","1","0","0","0","0","0"
"2010-03-17","Department of Biochemistry, University of Cambridge","United Kingdom","None","52.200874,0.119476","1","1","0","0","0","0","0","0"
"2010-03-17","Department of Human Genetics at Radboud University Nijmegen Medical Center","Netherlands","None","51.839172,5.866699","2","1","0","0","0","0","1","0"
"2010-03-17","DKFZ","Germany","None","49.421457,8.675187","1","1","0","0","0","0","0","0"
"2010-03-17","Dna Array Facility Lausanne","Switzerland","None","46.520248831,6.57514572144","2","0","1","0","0","0","0","0"
"2010-03-17","DNA Technologies Laboratory","Canada","None","52.131802,-106.624718","2","1","1","0","0","0","0","0"
